criterion,judge,n_valid,spearman_correlation,mean_absolute_error,exact_agreement_percent,within_one_point_agreement_percent,weighted_cohen_kappa,mean_signed_error
completeness,deepseek,97,0.278353,0.690722,48.453608,86.597938,0.420753,0.175258
completeness,llama,97,0.236720,0.690722,40.206186,92.783505,0.404169,-0.113402
completeness,prometheus,83,0.157474,0.819277,33.734940,84.337349,0.396410,-0.120482
correctness,deepseek,97,0.286939,0.762887,44.329897,83.505155,0.389118,0.350515
correctness,llama,97,0.215799,1.443299,16.494845,50.515464,0.133765,-1.340206
correctness,prometheus,83,0.008050,0.795181,36.144578,85.542169,0.323330,0.048193
understandability,deepseek,97,-0.018026,0.731959,48.453608,82.474227,0.135141,0.175258
understandability,llama,97,0.037024,0.824742,46.391753,79.381443,0.011368,-0.020619
understandability,prometheus,83,0.237807,0.831325,32.530120,84.337349,0.367023,-0.686747
terminological_alignment,deepseek,97,0.253751,0.432990,61.855670,96.907216,0.563414,0.226804
terminological_alignment,llama,97,0.118188,0.701031,43.298969,92.783505,0.352774,-0.371134
terminological_alignment,prometheus,83,0.199704,0.674699,34.939759,97.590361,0.519769,-0.554217
