repair_strategy,judge,n_valid,spearman_correlation,mean_absolute_error,exact_agreement_percent,within_one_point_agreement_percent,weighted_cohen_kappa,mean_signed_error
baseline_repair,deepseek,144,0.106230,0.840278,40.972222,81.944444,0.306879,0.284722
baseline_repair,llama,144,0.162413,1.020833,34.722222,74.305556,0.207924,-0.423611
baseline_repair,prometheus,120,0.249101,0.750000,36.666667,88.333333,0.434866,-0.383333
few_shot,deepseek,56,0.339170,0.553571,55.357143,91.071429,0.239130,0.446429
few_shot,llama,56,0.164005,0.875000,33.928571,82.142857,0.184569,-0.482143
few_shot,prometheus,52,-0.308314,0.903846,25.000000,84.615385,-0.260000,-0.096154
rag,deepseek,32,0.283257,0.750000,46.875000,84.375000,0.160000,0.562500
rag,llama,32,0.353789,0.812500,46.875000,78.125000,0.333333,-0.437500
rag,prometheus,24,-0.208782,0.875000,41.666667,75.000000,-0.168421,0.375000
syntax_grounded_repair,deepseek,156,0.380731,0.500000,58.974359,91.666667,0.588209,0.038462
syntax_grounded_repair,llama,156,0.252504,0.852564,37.179487,82.051282,0.326851,-0.493590
syntax_grounded_repair,prometheus,136,0.174935,0.742647,34.558824,91.176471,0.535316,-0.492647
