violation_type,DeepSeek,Llama,Mistral,Qwen
missing_final_state,87.5% (14/16),83.33% (10/12),45.45% (5/11),90% (9/10)
missing_initial_state,100% (8/8),50% (1/2),50% (2/4),-
duplicate_transitions,100% (2/2),0% (0/1),100% (2/2),40% (2/5)
orphan_states,100% (1/1),100% (3/3),100% (8/8),100% (2/2)
unreachable_states,0% (0/1),70% (7/10),33.33% (1/3),40% (2/5)
multiple_initial_states,-,50% (1/2),30% (3/10),38.46% (5/13)
invalid_choice_node,-,20% (1/5),25% (1/4),100% (1/1)
invalid_choice_guards,100% (1/1),100% (1/1),66.67% (2/3),100% (1/1)
plantuml_syntax_error,33.33% (1/3),0% (0/2),28.57% (2/7),-
invalid_initial_to_final,-,-,-,100% (2/2)
