llm_name,method_name,cases,mean_semantic_state_precision,mean_semantic_state_recall,mean_semantic_state_f1
DeepSeek_R1_14B,baseline_repair,27,0.541335,0.486678,0.479346
DeepSeek_R1_14B,few_shot,27,0.518304,0.490854,0.478479
DeepSeek_R1_14B,syntax_grounded_repair,27,0.524625,0.499387,0.486163
Llama_3.1_8B,baseline_repair,27,0.535136,0.546368,0.526146
Llama_3.1_8B,few_shot,27,0.551433,0.546368,0.534907
Llama_3.1_8B,syntax_grounded_repair,27,0.550246,0.546368,0.533933
Mistral,baseline_repair,27,0.395826,0.501823,0.419975
Mistral,rag,27,0.396988,0.508557,0.426339
Mistral,syntax_grounded_repair,27,0.436514,0.525139,0.455425
Qwen_2.5_7B,baseline_repair,27,0.626158,0.596181,0.58302
Qwen_2.5_7B,rag,27,0.628628,0.596181,0.584079
Qwen_2.5_7B,syntax_grounded_repair,27,0.622749,0.59836,0.584126
