assigned_folder,case_number,diagram_number,evaluation_count,evaluator_ids,excel_rows
Evaluation,1,A,3,"15, 1, 3","56, 68, 106"
Evaluation,12,A,3,"15, 1, 3","57, 69, 131"
Evaluation,14,B,1,14,3
Evaluation,16,A,2,"15, 1","58, 70"
Evaluation,16,B,1,1,73
Evaluation,18,A,2,"15, 1","59, 72"
Evaluation,18,B,2,"15, 23","60, 132"
Evaluation,28,A,2,"15, 1","61, 74"
Evaluation,28,B,2,"15, 1","62, 75"
Evaluation,33,A,2,"4, 23","95, 133"
Evaluation,33,E,1,6,12
Evaluation,34,A,2,"6, 4","13, 115"
Evaluation,34,B,2,"6, 4","63, 110"
Evaluation,37,A,2,"6, 4","64, 116"
Evaluation,38,A,1,4,154
Evaluation,39,A,2,"6, 23","65, 134"
Evaluation,39,B,3,"6, 23, 4","66, 135, 156"
Evaluation,41,A,2,"14, 10","2, 21"
Evaluation,41,B,2,"10, 23","22, 136"
Evaluation,41,C,2,"14, 10","4, 23"
Evaluation,45,A,2,"14, 10","5, 24"
Evaluation,45,B,2,"14, 10","6, 25"
Evaluation,47,A,2,"14, 10","7, 26"
Evaluation,47,B,2,"14, 10","8, 27"
Evaluation,51,A,2,"6, 4","67, 158"
Evaluation,54,A,2,"7, 5","14, 30"
Evaluation,59,A,2,"7, 5","15, 31"
Evaluation,60,A,2,"7, 5","28, 36"
Evaluation,60,B,2,"7, 5","29, 37"
Evaluation,60,C,2,"7, 5","32, 38"
Evaluation,60,D,2,"7, 5","35, 39"
Evaluation,65,A,2,"8, 9","40, 42"
Evaluation,65,B,2,"8, 9","41, 43"
Evaluation,67,A,2,"7, 5","16, 33"
Evaluation,70,A,2,"8, 9","34, 44"
Evaluation,75,A,2,"8, 9","17, 45"
Evaluation,75,B,2,"8, 9","18, 46"
Evaluation,75,C,2,"8, 9","19, 47"
Evaluation,75,D,2,"8, 9","20, 49"
Evaluation B,15,A,2,"11, 14","54, 150"
Evaluation B,41,A,2,"11, 14","50, 151"
Evaluation B,51,A,2,"11, 14","48, 152"
Evaluation B,60,A,2,"11, 14","51, 153"
Evaluation B,60,B,2,"11, 14","52, 155"
Evaluation B,75,A,2,"11, 14","53, 157"
Evaluation B,80,A,2,"11, 14","55, 159"
Evaluation C,1,A,3,"19, 2, 18","83, 96, 98"
Evaluation C,1,B,3,"19, 2, 18","88, 97, 99"
Evaluation C,2,A,2,"20, 22","9, 107"
Evaluation C,2,B,2,"20, 22","10, 108"
Evaluation C,12,A,2,"19, 18","89, 100"
Evaluation C,15,A,2,"20, 22","11, 109"
Evaluation C,16,A,2,"19, 18","90, 101"
Evaluation C,16,B,2,"19, 18","91, 102"
Evaluation C,18,A,2,"19, 18","92, 103"
Evaluation C,28,A,2,"26, 14","71, 124"
Evaluation C,32,A,2,"22, 27","111, 137"
Evaluation C,32,B,2,"22, 27","112, 138"
Evaluation C,33,A,2,"23, 27","117, 148"
Evaluation C,34,A,2,"23, 27","118, 147"
Evaluation C,37,A,2,"23, 27","119, 143"
Evaluation C,37,B,2,"23, 27","120, 141"
Evaluation C,39,A,2,"23, 28","121, 166"
Evaluation C,41,A,2,"26, 14","84, 125"
Evaluation C,45,A,2,"23, 27","122, 139"
Evaluation C,45,B,2,"23, 27","123, 140"
Evaluation C,46,A,2,"14, 27","126, 145"
Evaluation C,46,B,2,"14, 27","127, 146"
Evaluation C,47,A,2,"26, 14","85, 128"
Evaluation C,51,A,2,"26, 14","86, 129"
Evaluation C,52,A,3,"25, 28, 2","76, 165, 171"
Evaluation C,54,A,2,"25, 2","77, 142"
Evaluation C,54,B,2,"25, 2","78, 144"
Evaluation C,59,A,3,"25, 28, 2","79, 149, 167"
Evaluation C,59,B,3,"25, 28, 2","80, 160, 168"
Evaluation C,59,C,3,"25, 28, 2","81, 161, 169"
Evaluation C,65,A,3,"25, 28, 2","82, 164, 170"
Evaluation C,67,A,2,"26, 14","87, 130"
Evaluation C,70,A,2,"22, 28","113, 163"
Evaluation C,70,B,2,"22, 28","114, 162"
Evaluation C,80,A,2,"19, 18","93, 104"
Evaluation C,80,B,2,"19, 18","94, 105"
