criterion,judge,n_valid,spearman_correlation,mean_absolute_error,exact_agreement_percent,within_one_point_agreement_percent,weighted_cohen_kappa,mean_signed_error
completeness,deepseek,58,0.047992,1.293103,25.862069,65.517241,0.083534,-0.637931
completeness,llama,58,0.041798,1.120690,34.482759,68.965517,0.083655,-0.568966
completeness,prometheus,50,0.209455,1.120000,28.000000,70.000000,0.284199,-0.560000
correctness,deepseek,58,0.140805,1.137931,34.482759,67.241379,0.159763,-0.413793
correctness,llama,58,0.173081,1.931034,10.344828,37.931034,0.069112,-1.931034
correctness,prometheus,44,0.334960,1.045455,31.818182,77.272727,0.316062,-0.727273
understandability,deepseek,58,-0.012769,0.879310,39.655172,79.310345,0.148435,-0.327586
understandability,llama,58,-0.000264,0.913793,43.103448,77.586207,-0.096763,-0.293103
understandability,prometheus,50,0.002721,1.500000,18.000000,62.000000,0.063196,-1.340000
terminological_alignment,deepseek,58,0.143779,1.344828,29.310345,62.068966,0.155208,-1.034483
terminological_alignment,llama,58,0.171907,1.534483,27.586207,62.068966,0.122707,-1.327586
terminological_alignment,prometheus,52,-0.005889,1.576923,19.230769,67.307692,0.029100,-1.346154
