method_a,method_b,model,note,p_value_holm,p_value_raw,z
Few-shot,RAG,DeepSeek R1 14B,,0.09204902,0.09204902,-1.684687
Few-shot,Zero-shot,DeepSeek R1 14B,,0.00097531,0.0003251,-3.594428
RAG,Zero-shot,DeepSeek R1 14B,,0.08004276,0.04002138,-2.053528
Few-shot,RAG,Llama 3.1 8B Instruct,,0.80698111,0.80698111,-0.244322
Few-shot,Zero-shot,Llama 3.1 8B Instruct,,0.13770354,0.04590118,-1.996301
RAG,Zero-shot,Llama 3.1 8B Instruct,,0.13770354,0.06489126,-1.846007
Few-shot,RAG,Mistral,,0.54950109,0.45644932,0.744706
Few-shot,Zero-shot,Mistral,,0.54950109,0.26225062,-1.121087
RAG,Zero-shot,Mistral,,0.54950109,0.18316703,-1.331067
Few-shot,RAG,Qwen 2.5 7B Instruct,,0.89715132,0.89715132,0.129261
Few-shot,Zero-shot,Qwen 2.5 7B Instruct,,0.00189577,0.00087716,-3.327222
RAG,Zero-shot,Qwen 2.5 7B Instruct,,0.00189577,0.00063192,-3.417529
