results_set,llm_name,method_name,run_folder,cases,mean_state_f1,mean_transition_f1,mean_overall_f1,syntax_valid_count,syntax_valid_pct,structural_valid_count,structural_valid_pct
plantuml_pipeline,DeepSeek_R1_14B,few_shot,open_source__deepseek_r1_14b__few_shot,27,0.08428658607013702,0.0,0.04214329303506851,0,0.0,0,0.0
plantuml_pipeline,Llama_3.1_8B,few_shot,open_source__llama31_8b_instruct__few_shot,27,0.052766333684208085,0.0,0.026383166842104042,0,0.0,0,0.0
plantuml_pipeline,Mistral,rag,open_source__mistral__rag,27,0.10849616355337179,0.02356902356902357,0.06603259356119767,20,74.07407407407408,4,14.814814814814815
plantuml_pipeline,Qwen_2.5_7B,rag,open_source__qwen25_7b_instruct__rag,27,0.1384089204395718,0.02053872053872054,0.07947382048914617,27,100.0,3,11.11111111111111
plantuml_pipeline_run2,DeepSeek_R1_14B,few_shot,open_source__deepseek_r1_14b__few_shot,27,0.049847160958272074,0.0,0.024923580479136037,27,100.0,5,18.51851851851852
plantuml_pipeline_run2,Llama_3.1_8B,few_shot,open_source__llama31_8b_instruct__few_shot,27,0.06330481801352374,0.0,0.03165240900676187,27,100.0,5,18.51851851851852
plantuml_pipeline_run2,Mistral,rag,open_source__mistral__rag,27,0.08564864839374643,0.006172839506172839,0.04591074394995963,27,100.0,1,3.7037037037037037
plantuml_pipeline_run2,Qwen_2.5_7B,rag,open_source__qwen25_7b_instruct__rag,27,0.10216013860203244,0.0,0.05108006930101622,27,100.0,0,0.0
plantuml_pipeline_run3,DeepSeek_R1_14B,few_shot,open_source__deepseek_r1_14b__few_shot,27,0.062782073893185,0.0,0.0313910369465925,27,100.0,6,22.22222222222222
plantuml_pipeline_run3,Llama_3.1_8B,few_shot,open_source__llama31_8b_instruct__few_shot,27,0.060600121384435116,0.0,0.030300060692217558,27,100.0,3,11.11111111111111
plantuml_pipeline_run3,Mistral,rag,open_source__mistral__rag,27,0.09304822151598646,0.00966183574879227,0.051355028632389374,27,100.0,0,0.0
plantuml_pipeline_run3,Qwen_2.5_7B,rag,open_source__qwen25_7b_instruct__rag,27,0.10138882343560705,0.0,0.05069441171780353,27,100.0,1,3.7037037037037037
